,Topic,Count,Name,Representation,Representative_Docs
29,28,27,28_spirits_ceremony_died_sacrifice,"['spirits', 'ceremony', 'died', 'sacrifice', 'grave', 'corpse', 'buried', 'visit', 'tomb', 'spirit']","['commune with the spirits, sacrifice ', 'ceremony for someone who has died away from home and body not returned', 'cleansing ceremony to get rid of bad elements from living persons taking care of one who just died ']"
30,29,26,29_angry_sad_threaten_crestfallen,"['angry', 'sad', 'threaten', 'crestfallen', 'hate', 'belittle', 'offended', 'insult', 'at', 'attitude']","['to make sad, angry ', 'to be angry ', 'to be angry']"
31,30,25,30_afraid_fearful_surprise_concerned,"['afraid', 'fearful', 'surprise', 'concerned', 'frightened', 'dangerous', 'expression', 'be', 'longtounged', 'disgust']","['to be afraid continually, person who is always afraid ', 'to not be afraid ', 'to be afraid']"
32,31,25,31_sick_fever_sore_sickness,"['sick', 'fever', 'sore', 'sickness', 'faint', 'breath', 'breathe', 'working', 'from', 'severe']","['to be sore from working ', 'fever', 'after sickness when feeling almost well to have a bath and then get sick and die ']"
33,32,25,32_village_house_villages_intensification,"['village', 'house', 'villages', 'intensification', 'section', 'empty', 'area', 'large', 'old', 'indicate']","['to designate large village', 'large village', 'village']"
34,33,25,33_quickly_hurry_fast_wait,"['quickly', 'hurry', 'fast', 'wait', 'fluently', 'slowly', 'ambush', 'busy', 'speak', 'come']","['to do quickly ', 'fast, quickly ', 'quickly, fast']"
35,34,24,34_size_footprints_wide_length,"['size', 'footprints', 'wide', 'length', 'width', 'large', 'repeat', 'onebitesized', 'ie', 'breadth']","['same in size', 'the same size', 'size']"
36,35,23,35_people_many_group_race,"['people', 'many', 'group', 'race', 'doing', 'behind', 'another', 'together', 'walking', 'young']","['many people doing something together', 'people ', 'many people']"
37,36,23,36_crossbow_arrow_musical_gun,"['crossbow', 'arrow', 'musical', 'gun', 'instrument', 'bow', 'groove', 'trigger', 'simpler', 'western']","['to pull trigger of gun crossbow ', 'crossbow', 'crossbow ']"
38,37,23,37_hole_plug_drill_dam,"['hole', 'plug', 'drill', 'dam', 'sink', 'holes', 'round', 'earth', 'ground', 'fall']","['to plug a hole', 'hole in wall as rat hole', 'hole in ground']"
39,38,23,38_look_see_at_clearly,"['look', 'see', 'at', 'clearly', 'here', 'closely', 'passes', 'stare', 'find', 'everybody']","['to look at ', 'to look at ', 'to look at']"
40,39,23,39_lick_bite_spit_mouth,"['lick', 'bite', 'spit', 'mouth', 'fingers', 'cough', 'ones', 'suck', 'burp', 'swallow']","['to taste, lick', 'to lick one when eating', 'to lick fingers']"
41,40,23,40_eat_eating_appetite_hungry,"['eat', 'eating', 'appetite', 'hungry', 'enough', 'when', 'have', 'desire', 'cob', 'stuffed']","['of a woman to have a continual desire to eat', 'to get hungry for when seeing someone else eat', 'to eat ']"
42,41,22,41_together_meet_along_gather,"['together', 'meet', 'along', 'gather', 'agree', 'discuss', 'common', 'go', 'things', 'accept']","['together ', 'to meet together', 'to meet together, to gather things']"
43,42,22,42_tiger_roar_elephant_color,"['tiger', 'roar', 'elephant', 'color', 'leopard', 'patterns', 'gecko', 'leap', 'sound', 'face']","['sound of roar of tiger', 'roar of tiger', 'tiger']"
44,43,22,43_eyes_crosseyed_blind_intently,"['eyes', 'crosseyed', 'blind', 'intently', 'eye', 'cockeyed', 'persons', 'looking', 'describe', 'blinds']","['to describe a person with big eyes looking intently at something', 'to describe a person with small eyes looking intently at something ', ""to describe a blind person's eyes""]"
