X,Document,Topic,Name,Representation,Representative_Docs,Top_n_words,Representative_document,Keys
82,to go,11,11_order_command_first_to,"['order', 'command', 'first', 'to', 'over', 'step', 'begin', 'work', 'go', 'do']","['to command, order', 'to command, order ', 'to command, order']",order - command - first - to - over - step - begin - work - go - do,FALSE,anỗ
83,"to play, tease",22,22_do_obey_someone_make,"['do', 'obey', 'someone', 'make', 'want', 'give', 'to', 'along', 'take', 'something']","[""to want to do something one can't"", 'to make to obey ', 'to not want to do']",do - obey - someone - make - want - give - to - along - take - something,FALSE,anul
84,a package,4,4_many_different_more_one,"['many', 'different', 'more', 'one', 'kind', 'all', 'bushhook', 'five', 'seven', 'kinds']","['only, all of one kind only one', 'how many, that many, all of those ', 'money in 50, 100, or 500 piastre bills -  many of one kind']",many - different - more - one - kind - all - bushhook - five - seven - kinds,FALSE,anŭng
85,"glory, famous, report",0,0_time_day_completely_hidden,"['time', 'day', 'completely', 'hidden', 'nothing', 'days', 'continually', 'there', 'ago', 'today']","['nothing there, completely gone ', 'completely gone, nothing there ', 'a while ago, the other day time, designates time from a few days ago up to about a year ago']",time - day - completely - hidden - nothing - days - continually - there - ago - today,FALSE,and
86,dangerous things,26,26_person_evil_emphatic_eyes,"['person', 'evil', 'emphatic', 'eyes', 'intently', 'unbelief', 'pretty', 'describe', 'voice', 'looking']","[""to describe a blind person's eyes"", 'to describe a person with small eyes looking intently at something ', 'to describe a person with big eyes looking intently at something']",person - evil - emphatic - eyes - intently - unbelief - pretty - describe - voice - looking,FALSE,anglaī-anglaī
87,sheath for sword,21,21_basket_tree_hut_sword,"['basket', 'tree', 'hut', 'sword', 'centipede', 'calf', 'rod', 'trees', 'back', 'trunk']","['the top part of a tree; the ending of a story (as opposed to trunk of tree or in abstract form beginning) ', 'small back basket ', 'small back basket']",basket - tree - hut - sword - centipede - calf - rod - trees - back - trunk,FALSE,anglop
88,"headband, to put on headband",28,28_fall_head_turn_over,"['fall', 'head', 'turn', 'over', 'down', 'jump', 'back', 'go', 'to', 'move']","['to fall down head over heels', 'to look back, turn head around', 'to turn head']",fall - head - turn - over - down - jump - back - go - to - move,FALSE,angỡm
89,"to carry along, bring",22,22_do_obey_someone_make,"['do', 'obey', 'someone', 'make', 'want', 'give', 'to', 'along', 'take', 'something']","[""to want to do something one can't"", 'to make to obey ', 'to not want to do']",do - obey - someone - make - want - give - to - along - take - something,FALSE,anhăk
90,"to choke with string, rope",32,32_tail_curled_describe_the,"['tail', 'curled', 'describe', 'the', 'of', 'between', 'stick', 'trap', 'curly', 'designate']","[""stick used to pull dog with rope on both sides so that animal can't bite the one pulling "", 'of an old person to hold pipe between teeth', 'to describe something large curled up in a sitting position']",tail - curled - describe - the - of - between - stick - trap - curly - designate,FALSE,anhok
91,hammock,3,3_village_family_name_children,"['village', 'family', 'name', 'children', 'child', 'emphatic', 'form', 'old', 'goat', 'chicken']","['village', 'large village', 'old abandoned village, site of old village']",village - family - name - children - child - emphatic - form - old - goat - chicken,FALSE,anhŭn
92,"shirt, blouse ",16,16_side_leg_top_roads,"['side', 'leg', 'top', 'roads', 'belt', 'floor', 'width', 'upper', 'corner', 'vehicle']","['row of houses side by side', 'one side', 'side by side']",side - leg - top - roads - belt - floor - width - upper - corner - vehicle,FALSE,ao
93,to dream of something that happened during the day,31,31_dark_light_night_morning,"['dark', 'light', 'night', 'morning', 'happened', 'shine', 'fire', 'become', 'really', 'tired']","['to light a fire', 'to light a fire ', 'of sun to be gone down light out and so dark']",dark - light - night - morning - happened - shine - fire - become - really - tired,FALSE,"apa, apo apa"
94,"to pay wages, to reward",20,20_want_ask_pay_need,"['want', 'ask', 'pay', 'need', 'be', 'depend', 'desire', 'live', 'money', 'for']","['to want, desire', 'to want, desire', 'to pay to spirits what has been promised or to actually buy something you say you will']",want - ask - pay - need - be - depend - desire - live - money - for,FALSE,apah
95,"ask for, beg for",20,20_want_ask_pay_need,"['want', 'ask', 'pay', 'need', 'be', 'depend', 'desire', 'live', 'money', 'for']","['to want, desire', 'to want, desire', 'to pay to spirits what has been promised or to actually buy something you say you will']",want - ask - pay - need - be - depend - desire - live - money - for,FALSE,apĩnh
96,to dream,2,2_be_go_me_praise,"['be', 'go', 'me', 'praise', 'wait', 'for', 'to', 'home', 'careful', 'fool']","['let me go (and see about it)', 'to ask to go with invite to go somewhere ', '""excuse me, I must go home""']",be - go - me - praise - wait - for - to - home - careful - fool,FALSE,apo
97,to communicate a disease,27,27_person_afraid_expression_bad,"['person', 'afraid', 'expression', 'bad', 'people', 'who', 'sad', 'shy', 'tempered', 'many']","['bad-mannered, bad-tempered, mean--male only', 'to make one person angry at another by saying the other person said bad things about him', 'to be afraid continually, person who is always afraid ']",person - afraid - expression - bad - people - who - sad - shy - tempered - many,FALSE,apoh
98,"round, roundish",16,16_side_leg_top_roads,"['side', 'leg', 'top', 'roads', 'belt', 'floor', 'width', 'upper', 'corner', 'vehicle']","['row of houses side by side', 'one side', 'side by side']",side - leg - top - roads - belt - floor - width - upper - corner - vehicle,FALSE,apôm
99,"to wish, beseech",20,20_want_ask_pay_need,"['want', 'ask', 'pay', 'need', 'be', 'depend', 'desire', 'live', 'money', 'for']","['to want, desire', 'to want, desire', 'to pay to spirits what has been promised or to actually buy something you say you will']",want - ask - pay - need - be - depend - desire - live - money - for,FALSE,apơi
100,section area,16,16_side_leg_top_roads,"['side', 'leg', 'top', 'roads', 'belt', 'floor', 'width', 'upper', 'corner', 'vehicle']","['row of houses side by side', 'one side', 'side by side']",side - leg - top - roads - belt - floor - width - upper - corner - vehicle,FALSE,apŭng
101,bedbug,35,35_hair_high_recede_unruly,"['hair', 'high', 'recede', 'unruly', 'thunder', 'weight', 'see', 'swelling', 'distance', 'light']","['same as pơtuch but the distance between caller and listener is less', 'hair all over the place unruly hair', 'to describe unruly hair']",hair - high - recede - unruly - thunder - weight - see - swelling - distance - light,FALSE,arah
102,"crisp, brittle, hard",19,19_intensive_water_dry_hot,"['intensive', 'water', 'dry', 'hot', 'fire', 'rain', 'dirty', 'season', 'boil', 'large']","['very intensive', 'large fire (intensive form) ', 'intensive of']",intensive - water - dry - hot - fire - rain - dirty - season - boil - large,FALSE,arăk
103,hard (material),6,6_large_pile_intensifier_garden,"['large', 'pile', 'intensifier', 'garden', 'stream', 'area', 'flat', 'river', 'cover', 'paper']","['large pile  ', 'a large pile', 'to be wide cover large area']",large - pile - intensifier - garden - stream - area - flat - river - cover - paper,FALSE,arăng
104,"well, having no illness",31,31_dark_light_night_morning,"['dark', 'light', 'night', 'morning', 'happened', 'shine', 'fire', 'become', 'really', 'tired']","['to light a fire', 'to light a fire ', 'of sun to be gone down light out and so dark']",dark - light - night - morning - happened - shine - fire - become - really - tired,FALSE,arăng grăng
105,to hate,2,2_be_go_me_praise,"['be', 'go', 'me', 'praise', 'wait', 'for', 'to', 'home', 'careful', 'fool']","['let me go (and see about it)', 'to ask to go with invite to go somewhere ', '""excuse me, I must go home""']",be - go - me - praise - wait - for - to - home - careful - fool,FALSE,areh
106,a type of tree,15,15_bamboo_type_grass_made,"['bamboo', 'type', 'grass', 'made', 'tree', 'used', 'of', 'fish', 'xylophone', 'small']","['a type of bamboo', 'type of bamboo', 'type of bamboo']",bamboo - type - grass - made - tree - used - of - fish - xylophone - small,FALSE,areh
107,to live,20,20_want_ask_pay_need,"['want', 'ask', 'pay', 'need', 'be', 'depend', 'desire', 'live', 'money', 'for']","['to want, desire', 'to want, desire', 'to pay to spirits what has been promised or to actually buy something you say you will']",want - ask - pay - need - be - depend - desire - live - money - for,FALSE,arih
108,type of tree with fruit used to trap birds,30,30_edible_fruit_seed_bananas,"['edible', 'fruit', 'seed', 'bananas', 'corn', 'type', 'yellow', 'like', 'rice', 'vegetables']","['plant that edible seed and leaves the seed pops', 'edible yellow fruit that grows on vines that climb trees', 'type of corn-like plant seed of which is used to make wine and other things ']",edible - fruit - seed - bananas - corn - type - yellow - like - rice - vegetables,FALSE,aroh
109,bad backache,19,19_intensive_water_dry_hot,"['intensive', 'water', 'dry', 'hot', 'fire', 'rain', 'dirty', 'season', 'boil', 'large']","['very intensive', 'large fire (intensive form) ', 'intensive of']",intensive - water - dry - hot - fire - rain - dirty - season - boil - large,FALSE,arỡp-arăp
110,roar of tiger,45,45_roar_describe_animal_noise,"['roar', 'describe', 'animal', 'noise', 'of', 'tiger', 'ears', 'bird', 'the', 'wings']","['to describe the flapping of the wings of many birds ', 'the sound of the roar of the elephant', 'sound of roar of tiger']",roar - describe - animal - noise - of - tiger - ears - bird - the - wings,FALSE,arum
111,to fish with rod,21,21_basket_tree_hut_sword,"['basket', 'tree', 'hut', 'sword', 'centipede', 'calf', 'rod', 'trees', 'back', 'trunk']","['the top part of a tree; the ending of a story (as opposed to trunk of tree or in abstract form beginning) ', 'small back basket ', 'small back basket']",basket - tree - hut - sword - centipede - calf - rod - trees - back - trunk,FALSE,asai
112,horse,3,3_village_family_name_children,"['village', 'family', 'name', 'children', 'child', 'emphatic', 'form', 'old', 'goat', 'chicken']","['village', 'large village', 'old abandoned village, site of old village']",village - family - name - children - child - emphatic - form - old - goat - chicken,FALSE,aseh
113,sound of sneeze,49,49_noise_loud_crying_sound,"['noise', 'loud', 'crying', 'sound', 'of', 'drowning', 'bubbling', 'ghost', 'noisy', 'person']","['noise of person crying; noise of blowing on something ', 'loud noise', 'loud noise ']",noise - loud - crying - sound - of - drowning - bubbling - ghost - noisy - person,FALSE,asêu
114,chirp of bird,5,5_bird_type_animal_duck,"['bird', 'type', 'animal', 'duck', 'of', 'wild', 'color', 'white', 'like', 'nest']","['bird', 'type of small bird ', 'a type of bird']",bird - type - animal - duck - of - wild - color - white - like - nest,FALSE,asi
115,"to divide, distribute",37,37_split_divide_roll_fit,"['split', 'divide', 'roll', 'fit', 'distribute', 'up', 'chain', 'sprout', 'finish', 'to']","['to divide up', 'to split up ', 'to divide up and give, distribute']",split - divide - roll - fit - distribute - up - chain - sprout - finish - to,FALSE,asong
116,to cover oneself with a blanket,36,36_throw_shake_feel_choke,"['throw', 'shake', 'feel', 'choke', 'suck', 'touch', 'to', 'when', 'mouth', 'dive']","['to throw', 'to throw out', 'may also have the idea of throw away especially when preceded by words meaning to throw out ']",throw - shake - feel - choke - suck - touch - to - when - mouth - dive,FALSE,asu
117,far,1,1_look_yes_there_times,"['look', 'yes', 'there', 'times', 'more', 'equal', 'over', 'if', 'past', 'distant']","['to look at ', 'to look at ', 'to look here and there ']",look - yes - there - times - more - equal - over - if - past - distant,FALSE,ataih
118,very far,0,0_time_day_completely_hidden,"['time', 'day', 'completely', 'hidden', 'nothing', 'days', 'continually', 'there', 'ago', 'today']","['nothing there, completely gone ', 'completely gone, nothing there ', 'a while ago, the other day time, designates time from a few days ago up to about a year ago']",time - day - completely - hidden - nothing - days - continually - there - ago - today,FALSE,ataih yaih
119,"give authority, request, accuse",9,9_law_people_person_mother,"['law', 'people', 'person', 'mother', 'father', 'polite', 'dual', 'daughter', 'friend', '1st']","['an aunt who is younger than father or mother, honorific term for women same age or younger than speaker', 'father-in-law, mother-in-law', 'close friend with special contract or pact also used in addressing father-in-law and mother-in-law of one son or daughter ']",law - people - person - mother - father - polite - dual - daughter - friend - 1st,FALSE,ată
120,to hang up - as a banner,28,28_fall_head_turn_over,"['fall', 'head', 'turn', 'over', 'down', 'jump', 'back', 'go', 'to', 'move']","['to fall down head over heels', 'to look back, turn head around', 'to turn head']",fall - head - turn - over - down - jump - back - go - to - move,FALSE,atăng
121,strap of basket,33,33_weaving_rope_thread_instrument,"['weaving', 'rope', 'thread', 'instrument', 'ladder', 'cut', 'string', 'knife', 'cord', 'in']","['an instrument used to keep thread in weaving even ', 'instrument used carry thread in weaving', 'instrument used to keep thread close together in weaving']",weaving - rope - thread - instrument - ladder - cut - string - knife - cord - in,FALSE,atăr
122,type of gruel eaten with rest of meal-meat and bamboo sprouts,30,30_edible_fruit_seed_bananas,"['edible', 'fruit', 'seed', 'bananas', 'corn', 'type', 'yellow', 'like', 'rice', 'vegetables']","['plant that edible seed and leaves the seed pops', 'edible yellow fruit that grows on vines that climb trees', 'type of corn-like plant seed of which is used to make wine and other things ']",edible - fruit - seed - bananas - corn - type - yellow - like - rice - vegetables,FALSE,ate
123,"to command, order ",11,11_order_command_first_to,"['order', 'command', 'first', 'to', 'over', 'step', 'begin', 'work', 'go', 'do']","['to command, order', 'to command, order ', 'to command, order']",order - command - first - to - over - step - begin - work - go - do,TRUE,"athay, athei"
124,"to command, order",11,11_order_command_first_to,"['order', 'command', 'first', 'to', 'over', 'step', 'begin', 'work', 'go', 'do']","['to command, order', 'to command, order ', 'to command, order']",order - command - first - to - over - step - begin - work - go - do,TRUE,athĕn
