name,id,group,size,node_name
chraih,524,23,1,to stir to get dry e.g. rice
chrang,525,35,1,high-pitched
chrao,526,5,1,medium-sized bird that sometimes lives in people's houses
chrăng,527,16,1,metal belt
chre,528,38,1,to cut off branches of tree
chrek,529,38,1,"to cut with knife -- cloth, kerosene can"
chrĕm,530,48,1,expression to describe something cold
chrĕng,531,49,1,loud noise
chrêu,532,7,1,strange
chrih,533,39,1,"strange, out of ordinary"
chro,534,13,1,to reach out hand
"chro, plĕnh chro",535,7,1,rainbow
"chrôh, chruơh",536,40,1,a type of fish
chrơng,537,11,1,to hoist up
chrŭp,538,32,1,to designate the way an object falls into water
chu,539,22,1,to obey
chu-chang,540,10,1,to leave behind
chuai,541,5,1,cowlick of horse or cow
chuă,542,47,1,grab
chuĕch,543,47,1,to grab quickly
chuŏk,544,13,1,"to knit, tie"
chuŏng,545,7,1,small bell
chuơh,546,6,1,sand
chuỡng,547,18,1,to cut clean off in one blow
chuỡr,548,28,1,jump over
chur,549,26,1,"brave, courageous"
"chŭ, jǐ chŭ",550,14,1,smallpox
chữ-chă,551,5,1,house lizard
chŭk,552,5,1,the white lower of some animals
chŭk-lŭk,553,44,1,to describe someone falling to ground or in water
chŭm,554,10,1,to kiss
chŭn,555,6,1,garden in fields or woods
chŭr,556,49,1,noise of nighthawk
chư,557,4,1,word letter
chưk,558,43,1,of pig to root around in dirt
dah,559,10,1,"to hurry, to do"
"dah, hơdah",560,4,1,or
dam,561,16,1,"bridle, halter "
dan,562,13,1,to place as to place a target
dang,563,8,1,"like, as"
dang đêl,564,0,1,same as usual
dang aī,565,7,1,same in size
dang ei,566,1,1,now
dao,567,21,1,small sword
dă,568,0,1,better
dă dah,569,1,1,that's okay
dăm,570,3,1,"male carabao, bull/son"
dăm brang,571,3,1,lion
dăng,572,5,1,classifier for hair string and similar objects
wai dăng,573,17,1,"male carabao, bull"
dăr,574,34,1,son
deh,575,27,1,lion/mild imperative attention-getter
deng,576,28,1,"classifier for hair string and similar objects/to put up wire, line, rope "
bơngai deng,577,3,1,witch (runs in family)
der,578,5,1,type of small bird
dĕl-dŏl,579,32,1,the swinging of something in the wind
dĕng,580,8,1,the little finger
dêh,581,4,1,"country, area "
dêng-dễ,582,8,1,"to toddle, waddle"
dêt-bơngai dêt,583,27,1,easily angered person
dih,584,9,1,own self
dim,585,14,1,gentle kind
dǐk-dǐr,586,40,1,name of a very soft dark mushroom that grows on dead logs
doch,587,24,1,to suck through tube (restricted to wine and water)
"don, 'bum don ",588,7,1,camote
dong,589,13,1,to hit hard and long
dor,590,17,1,oval-shaped head
dŏng,591,2,1,"to help, save, rescue/to put, place "
"duŏ, dâu-dak dŏu",592,6,1,kerosene
dôi,593,38,1,clay bowl
dôm,594,4,1,"how many, that many, all of those "
dôm ai,595,1,1,equal in number
dônh,596,47,1,"to gather up, pick up "
"dông, long dông",597,33,1,leaning tree
dỗ,598,37,1,to divide up
dơdĕng,599,9,1,eager
dơdơng,600,33,1,to designate any long shaped object hanging down
dơhlĕo,601,16,1,a drill
dơhlông,602,33,1,door track to fasten or slide wood into
dơhơr,603,22,1,to encourage
yak dơhơr,604,11,1,go together to have company
dơhuơng,605,26,1,tall and handsome
dơlễ,606,5,1,snail
dơliêl,607,45,1,to describe long-tounged scary-faced individual
dơmanh,608,0,1,three days after today
dơmŏng,609,6,1,"precious stones, jewels"
dơmônh,610,0,1,day after tomorrow
dơnan,611,17,1,target
dơning,612,4,1,tomorrow
dơning dơmônh,613,0,1,the next few days or weeks the future
dơnŏu,614,6,1,lake pond
dơnỡng,615,10,1,"one sitting, stay in one place"
dơnỡr,616,17,1,grave mound or tombstone
dơnuh,617,4,1,poor
"dơnuh, pơma dơnuh",618,9,1,to converse
dơng,619,16,1,branch
dongôk,620,26,1,decribes looks of a tall person
dơngôk-dơngak-mak,621,26,1,many tall people
dơngỡl,622,21,1,tree stump
dơrỡ,623,3,1,pig swill
dơsen,624,8,1,stingy
"dơsǐ, đak dơsǐ",625,6,1,"sea, ocean"
dơsoh,626,26,1,lungs
dơsor,627,2,1,"to agree with, be friends"
dơt,628,42,1,of chickens to lay here and there
"dơwing, duing kơuỡng",629,3,1,large village
doyĕn,630,30,1,squash-like vegetable insides can be used as brush or sponge
dơyuăn,631,23,1,type of large jar having great value
dỡng,632,10,1,"to stand, stop "
drang,633,41,1,to warm oneself in sun
drap,634,22,1,to prostrate oneself
drap kơmrap-kơmrônh-mônh,635,12,1,many people prostrating themselves
"dră-kăn, drŏ-kăn",636,9,1,"woman, women "
dreng,637,39,1,yellow
drong,638,10,1,to stop off at
drŏ-nglo,639,9,1,"man, men"
"drŏu, drâu",640,4,1,today
drôih,641,41,1,to go early in the morning
"drô, minh drô",642,0,1,alone
drơn,643,16,1,floor
drỡng,644,1,1,answer
druei,645,41,1,"to have had enough, be sick of "
druh,646,34,1,"to follow, chase, pursue, drum "
drum,647,42,1,of animals to lay down
drŭt,648,13,1,to push
drưt,649,30,1,yellow edible food
"du, hla du",650,16,1,umbrella
du-da,651,4,1,whatever
duch,652,9,1,"an aunt who is younger than father or mother, honorific term for women same age or younger than speaker"
duh,653,20,1,"to pay fine, give back, make restitution, pay rent "
dui,654,13,1,to pull
duk,655,1,1,ship
dul-dêl,656,32,1,to designate rocking of something being carried
dung,657,44,1,sound of gun boom
duỡt,658,3,1,to designate large village
"dur, pơma dur",659,26,1,"low deep voice, speak in a low voice"
dur,660,21,1,wall around village fort
dŭk,661,44,1,sound of something hitting ground
dŭk dỡk,662,19,1,intensive of
